jockey_name,jockey_id,category,rides_total,rides_jra,rides_nar,nige_rate,senko_rate,mae_iki_rate,chudan_rate,koho_rate,avg_pos1c_rel,ds_rides,ds_nige_rate,ds_senko_rate,ds_mae_iki_rate,ns_rides,ns_koho_rate,wins,win_rate,recent_rides,recent_nige_rate,recent_mae_iki_rate
森島貴之,a027b,NAR,1809,0,1809,5.97,21.17,27.14,31.01,52.63,0.6114,917,2.29,15.05,17.34,136,4.41,90,4.98,405,5.93,24.2
坂口裕一,a01e8,NAR,1806,0,1806,7.59,19.32,26.91,29.84,48.12,0.5846,710,0.7,6.06,6.76,223,4.93,161,8.91,0,0.0,0.0
妹尾浩一,a02da,NAR,1804,0,1804,11.86,19.57,31.43,28.16,43.9,0.5458,795,1.38,11.32,12.7,299,5.02,162,8.98,436,13.99,29.82
藤江渉,a0188,NAR,1788,0,1788,9.12,14.21,23.32,27.74,50.62,0.5943,847,1.42,8.85,10.27,224,5.8,87,4.87,426,7.98,23.0
大畑慧悟,05648,NAR,1777,0,1777,9.34,14.74,24.09,26.56,50.03,0.5776,1309,2.14,7.72,9.85,420,8.1,141,7.93,1103,9.07,25.2
黒澤愛斗,05477,NAR,1764,0,1764,5.84,16.33,22.17,23.02,59.07,0.6505,1005,1.29,7.16,8.46,203,6.4,118,6.69,590,4.92,19.66
畑中信司,a01bb,NAR,1762,0,1762,5.45,20.6,26.05,33.54,45.06,0.5686,872,1.03,12.5,13.53,255,9.8,165,9.36,498,4.22,23.9
岩田康,05203,JRA,1754,1754,0,8.95,19.21,28.16,31.7,35.46,0.4854,699,0.86,8.44,9.3,298,3.69,152,8.67,464,7.76,25.43
川原正一,00815,NAR,1739,0,1739,13.86,25.3,39.16,28.69,35.94,0.4983,691,2.75,15.63,18.38,324,6.17,207,11.9,399,11.78,34.34
丸山真一,a0292,NAR,1737,0,1737,6.51,13.24,19.75,33.68,49.17,0.6001,521,1.15,6.33,7.49,137,5.84,103,5.93,243,4.53,20.58
荻野極,01160,JRA+NAR,1737,1735,2,11.05,24.76,35.81,32.12,26.42,0.4171,736,0.54,11.55,12.09,447,1.79,140,8.06,617,12.97,40.03
望月洵輝,a0572,NAR,1732,0,1732,8.2,21.13,29.33,41.22,32.79,0.4965,1107,2.17,11.56,13.73,600,7.33,292,16.86,1397,8.59,30.42
田辺,01075,JRA,1704,1704,0,10.8,17.96,28.76,30.81,35.62,0.477,591,1.02,5.92,6.94,276,1.45,169,9.92,222,12.61,27.03
松戸政也,a01fa,NAR,1694,0,1694,7.38,17.18,24.56,29.22,53.07,0.6084,943,1.27,12.09,13.36,245,13.47,151,8.91,570,8.42,28.42
佐々木世,05616,NAR,1686,0,1686,10.85,23.31,34.16,29.42,39.68,0.5289,866,1.96,12.82,14.78,268,6.72,120,7.12,476,9.45,29.41
中田貴士,a024c,NAR,1677,0,1677,11.33,19.56,30.89,32.02,39.59,0.5276,746,2.14,14.48,16.62,248,1.61,104,6.2,362,12.43,29.56
